Año,Alto,Medio,Bajo
2024,1105.9446101425626,863.2944621888199,577.9084766895005
2026,1203.8550661678341,923.3833979460683,613.6324695025314
2029,1327.6165562413564,986.288486242033,640.6750434474774
2030,1362.2967924039795,1004.5972178223433,654.7867132141818
2031,1388.179588929165,1018.1898318488958,665.2179903931116
2033,1441.5321202035107,1049.3088067967067,686.8574846422844
2040,1596.7475267648076,1142.0096041899808,749.4064623069842
2050,1733.2933813450206,1253.8306479926416,794.1044209838011
