Año,Alto,Medio,Bajo
2024,293.57707301666665,245.57990293333333,190.04387063333334
2026,315.32249985,258.43737476666666,196.3872097166667
2029,342.21023701666667,273.4670099333334,203.96781696666667
2030,349.16222803333335,277.3622166166667,206.9538851166667
2031,354.1711883333333,279.9330951,208.69706603333336
2033,365.8805116666667,287.0660642,213.5035775166667
2040,395.62822595000006,304.11533460000004,223.56339723333335
2050,424.54216148333336,325.5936605,230.12679955
