Año,Alto,Medio,Bajo
2024,146.85340324527783,117.7512952869445,83.62327919805554
2026,158.78427197305564,124.99286200361115,87.75809205361111
2029,173.85138099805562,132.7807457897223,91.2061333147222
2030,178.00337049250007,134.9890017730556,92.90241967305555
2031,181.0862053286112,136.59705435083342,94.10927948416665
2033,187.58955373138897,140.4143975008334,96.74054845638886
2040,206.03755271750006,151.3284977897223,103.9267455286111
2050,222.54469045361122,164.59311866194452,108.96264022861111
